timestamp_ms,t_iso,best_bid,best_bid_size,best_ask,best_ask_size,mid,spread,total_depth,top5_depth_sum,trade_volume
1764189068647,2025-11-26T20:31:08.647000+00:00,0.998,2402821.86,0.999,481761.95,0.9984999999999999,0.0010000000000000009,10698513.77,2973925.7399999998,0.0
1764189074680,2025-11-26T20:31:14.680000+00:00,0.998,2402821.86,0.999,481761.95,0.9984999999999999,0.0010000000000000009,10698513.77,2973925.7399999998,0.0
1764343587103,2025-11-28T15:26:27.103000+00:00,0.998,2485163.39,0.999,299831.68,0.9984999999999999,0.0010000000000000009,10547627.97,2824337.0300000003,0.0
1764343597660,2025-11-28T15:26:37.660000+00:00,0.998,2485163.39,0.999,299831.68,0.9984999999999999,0.0010000000000000009,10547627.97,2824337.0300000003,0.0
1764343608257,2025-11-28T15:26:48.257000+00:00,0.998,2485163.39,0.999,299831.68,0.9984999999999999,0.0010000000000000009,10547627.97,2824337.0300000003,0.0
1764343618906,2025-11-28T15:26:58.906000+00:00,0.998,2485163.39,0.999,299831.68,0.9984999999999999,0.0010000000000000009,10547627.97,2824337.0300000003,0.0
1764343629352,2025-11-28T15:27:09.352000+00:00,0.998,2485163.39,0.999,299772.09,0.9984999999999999,0.0010000000000000009,10547568.38,2824277.44,0.0
1764343639900,2025-11-28T15:27:19.900000+00:00,0.998,2485163.39,0.999,299772.09,0.9984999999999999,0.0010000000000000009,10547568.38,2824277.44,0.0
