tau_sec,R,ell_avg,I,R_smooth,ell_smooth,I_smooth
656360.1,0.0010000000000000009,0.0005000000000000004,0.0,0.0010000000000000009,0.0005000000000000004,0.48326189749500953
656669.8620300601,0.0010000000000000009,0.0005000000000000004,0.9665237949900191,0.0010000000000000009,0.0005000000000000004,0.6437022344135817
656979.6240601202,0.0010000000000000009,0.0005000000000000004,0.9645829082507259,0.0010000000000000009,0.0005000000000000004,0.9645829082507257
657289.3860901804,0.0010000000000000009,0.0005000000000000004,0.962642021511432,0.0010000000000000009,0.0005000000000000004,0.9626420215114321
657599.1481202404,0.0010000000000000009,0.0005000000000000004,0.9607011347721388,0.0010000000000000009,0.0005000000000000004,0.9607011347721386
657908.9101503006,0.0010000000000000009,0.0005000000000000004,0.9587602480328449,0.0010000000000000009,0.0005000000000000004,0.9587602480328451
658218.6721803606,0.0010000000000000009,0.0005000000000000004,0.9568193612935516,0.0010000000000000009,0.0005000000000000004,0.9568193612935514
658528.4342104208,0.0010000000000000009,0.0005000000000000004,0.9548784745542577,0.0010000000000000009,0.0005000000000000004,0.9548784745542577
658838.196240481,0.0010000000000000009,0.0005000000000000004,0.9529375878149637,0.0010000000000000009,0.0005000000000000004,0.9529375878149638
659147.958270541,0.0010000000000000009,0.0005000000000000004,0.9509967010756706,0.0010000000000000009,0.0005000000000000004,0.9509967010756704
659457.7203006012,0.0010000000000000009,0.0005000000000000004,0.9490558143363766,0.0010000000000000009,0.0005000000000000004,0.9490558143363769
659767.4823306613,0.0010000000000000009,0.0005000000000000004,0.9471149275970835,0.0010000000000000009,0.0005000000000000004,0.9471149275970833
660077.2443607214,0.0010000000000000009,0.0005000000000000004,0.9451740408577896,0.0010000000000000009,0.0005000000000000004,0.9451740408577898
660387.0063907815,0.0010000000000000009,0.0005000000000000004,0.9432331541184963,0.0010000000000000009,0.0005000000000000004,0.9432331541184961
660696.7684208417,0.0010000000000000009,0.0005000000000000004,0.9412922673792024,0.0010000000000000009,0.0005000000000000004,0.9412922673792025
661006.5304509018,0.0010000000000000009,0.0005000000000000004,0.9393513806399084,0.0010000000000000009,0.0005000000000000004,0.9393513806399086
661316.2924809619,0.0010000000000000009,0.0005000000000000004,0.9374104939006153,0.0010000000000000009,0.0005000000000000004,0.937410493900615
661626.054511022,0.0010000000000000009,0.0005000000000000004,0.9354696071613213,0.0010000000000000009,0.0005000000000000004,0.9354696071613215
661935.8165410821,0.0010000000000000009,0.0005000000000000004,0.9335287204220282,0.0010000000000000009,0.0005000000000000004,0.9335287204220278
662245.5785711423,0.0010000000000000009,0.0005000000000000004,0.9315878336827342,0.0010000000000000009,0.0005000000000000004,0.9315878336827345
662555.3406012023,0.0010000000000000009,0.0005000000000000004,0.929646946943441,0.0010000000000000009,0.0005000000000000004,0.9296469469434409
662865.1026312625,0.0010000000000000009,0.0005000000000000004,0.9277060602041471,0.0010000000000000009,0.0005000000000000004,0.9277060602041471
663174.8646613227,0.0010000000000000009,0.0005000000000000004,0.9257651734648532,0.0010000000000000009,0.0005000000000000004,0.9257651734648534
663484.6266913827,0.0010000000000000009,0.0005000000000000004,0.9238242867255599,0.0010000000000000009,0.0005000000000000004,0.9238242867255598
663794.3887214429,0.0010000000000000009,0.0005000000000000004,0.921883399986266,0.0010000000000000009,0.0005000000000000004,0.9218833999862662
664104.150751503,0.0010000000000000009,0.0005000000000000004,0.9199425132469728,0.0010000000000000009,0.0005000000000000004,0.9199425132469726
664413.9127815631,0.0010000000000000009,0.0005000000000000004,0.9180016265076789,0.0010000000000000009,0.0005000000000000004,0.9180016265076792
664723.6748116232,0.0010000000000000009,0.0005000000000000004,0.9160607397683858,0.0010000000000000009,0.0005000000000000004,0.9160607397683855
665033.4368416833,0.0010000000000000009,0.0005000000000000004,0.9141198530290918,0.0010000000000000009,0.0005000000000000004,0.9141198530290918
665343.1988717435,0.0010000000000000009,0.0005000000000000004,0.9121789662897979,0.0010000000000000009,0.0005000000000000004,0.912178966289798
665652.9609018036,0.0010000000000000009,0.0005000000000000004,0.9102380795505046,0.0010000000000000009,0.0005000000000000004,0.9102380795505044
665962.7229318637,0.0010000000000000009,0.0005000000000000004,0.9082971928112107,0.0010000000000000009,0.0005000000000000004,0.908297192811211
666272.4849619238,0.0010000000000000009,0.0005000000000000004,0.9063563060719175,0.0010000000000000009,0.0005000000000000004,0.9063563060719173
666582.246991984,0.0010000000000000009,0.0005000000000000004,0.9044154193326236,0.0010000000000000009,0.0005000000000000004,0.9044154193326239
666892.009022044,0.0010000000000000009,0.0005000000000000004,0.9024745325933304,0.0010000000000000009,0.0005000000000000004,0.9024745325933301
667201.7710521042,0.0010000000000000009,0.0005000000000000004,0.9005336458540365,0.0010000000000000009,0.0005000000000000004,0.9005336458540366
667511.5330821644,0.0010000000000000009,0.0005000000000000004,0.8985927591147426,0.0010000000000000009,0.0005000000000000004,0.8985927591147428
667821.2951122244,0.0010000000000000009,0.0005000000000000004,0.8966518723754493,0.0010000000000000009,0.0005000000000000004,0.8966518723754491
668131.0571422846,0.0010000000000000009,0.0005000000000000004,0.8947109856361554,0.0010000000000000009,0.0005000000000000004,0.8947109856361557
668440.8191723446,0.0010000000000000009,0.0005000000000000004,0.8927700988968622,0.0010000000000000009,0.0005000000000000004,0.8927700988968619
668750.5812024048,0.0010000000000000009,0.0005000000000000004,0.8908292121575683,0.0010000000000000009,0.0005000000000000004,0.8908292121575686
669060.3432324649,0.0010000000000000009,0.0005000000000000004,0.8888883254182751,0.0010000000000000009,0.0005000000000000004,0.8888883254182748
669370.105262525,0.0010000000000000009,0.0005000000000000004,0.8869474386789812,0.0010000000000000009,0.0005000000000000004,0.8869474386789812
669679.8672925852,0.0010000000000000009,0.0005000000000000004,0.8850065519396872,0.0010000000000000009,0.0005000000000000004,0.8850065519396875
669989.6293226453,0.0010000000000000009,0.0005000000000000004,0.8830656652003941,0.0010000000000000009,0.0005000000000000004,0.8830656652003938
670299.3913527054,0.0010000000000000009,0.0005000000000000004,0.8811247784611,0.0010000000000000009,0.0005000000000000004,0.8811247784611004
670609.1533827655,0.0010000000000000009,0.0005000000000000004,0.8791838917218069,0.0010000000000000009,0.0005000000000000004,0.8791838917218066
670918.9154128256,0.0010000000000000009,0.0005000000000000004,0.877243004982513,0.0010000000000000009,0.0005000000000000004,0.8772430049825132
671228.6774428857,0.0010000000000000009,0.0005000000000000004,0.8753021182432198,0.0010000000000000009,0.0005000000000000004,0.8753021182432196
